№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
2;;Курган-Тюбе;;;;;;;;;;Курган-Тюбинская область;;;;;;;;;;37,7;;68,8;;;2;;Курган-Тюбе;;;;;;;;;;Курган-Тюбинская область;;;;;;;;;;37,7;;68,8;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0,033333333;0,113888889;0,2;0,277777778;0,327777778;0,327777778;0,269444444;0,2;0,113888889;0,033333333;0;0;0;0;0;0;0;1,897222222;;I;0;0;0;0;0;0;0;0,005555556;0,036111111;0,077777778;0,127777778;0,155555556;0,155555556;0,127777778;0,086111111;0,041666667;0,005555556;0;0;0;0;0;0;0;0,819444444
II;0;0;0;0;0;0;0,005555556;0,077777778;0,177777778;0,283333333;0,369444444;0,419444444;0,419444444;0,383333333;0,3;0,191666667;0,086111111;0,005555556;0;0;0;0;0;0;2,719444444;;II;0;0;0;0;0;0;0,002777778;0,022222222;0,055555556;0,119444444;0,177777778;0,205555556;0,205555556;0,177777778;0,136111111;0,077777778;0,022222222;0,002777778;0;0;0;0;0;0;1,205555556
III;0;0;0;0;0;0;0,033333333;0,136111111;0,247222222;0,383333333;0,483333333;0,525;0,525;0,483333333;0,397222222;0,277777778;0,15;0,033333333;0;0;0;0;0;0;3,675;;III;0;0;0;0;0;0;0,005555556;0,041666667;0,105555556;0,205555556;0,269444444;0,305555556;0,305555556;0,269444444;0,205555556;0,127777778;0,05;0,005555556;0;0;0;0;0;0;1,897222222
IV;0;0;0;0;0;0,011111111;0,091666667;0,213888889;0,361111111;0,519444444;0,625;0,666666667;0,666666667;0,602777778;0,502777778;0,383333333;0,247222222;0,127777778;0,011111111;0;0;0;0;0;5,030555556;;IV;0;0;0;0;0;0,002777778;0,027777778;0,077777778;0,155555556;0,283333333;0,369444444;0,397222222;0,397222222;0,375;0,305555556;0,191666667;0,091666667;0,036111111;0,002777778;0;0;0;0;0;2,713888889
V;0;0;0;0;0;0,05;0,183333333;0,327777778;0,511111111;0,680555556;0,775;0,822222222;0,822222222;0,775;0,647222222;0,502777778;0,327777778;0,169444444;0,041666667;0;0;0;0;0;6,636111111;;V;0;0;0;0;0;0,013888889;0,072222222;0,177777778;0,319444444;0,447222222;0,533333333;0,575;0,575;0,533333333;0,438888889;0,305555556;0,177777778;0,072222222;0,008333333;0;0;0;0;0;4,25
VI;0;0;0;0;0,005555556;0,091666667;0,247222222;0,419444444;0,602777778;0,758333333;0,872222222;0,936111111;0,936111111;0,866666667;0,744444444;0,588888889;0,405555556;0,227777778;0,072222222;0,005555556;0;0;0;0;7,780555556;;VI;0;0;0;0;0,002777778;0,013888889;0,119444444;0,263888889;0,411111111;0,547222222;0,661111111;0,716666667;0,716666667;0,661111111;0,547222222;0,411111111;0,263888889;0,127777778;0,013888889;0;0;0;0;0;5,477777778
