№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0;0,033333333;0,091666667;0,163888889;0,219444444;0,219444444;0,163888889;0,091666667;0,033333333;0;0;0;0;0;0;0;0;1,016666667;;I;0;0;0;0;0;0;0;0;0,008333333;0,027777778;0,072222222;0,119444444;0,119444444;0,072222222;0,027777778;0,008333333;0;0;0;0;0;0;0;0;0,455555556
II;0;0;0;0;0;0;0;0,030555556;0,127777778;0,227777778;0,316666667;0,366666667;0,366666667;0,316666667;0,227777778;0,127777778;0,030555556;0;0;0;0;0;0;0;2,138888889;;II;0;0;0;0;0;0;0;0,008333333;0,05;0,113888889;0,180555556;0,225;0,225;0,188888889;0,122222222;0,055555556;0,011111111;0;0;0;0;0;0;0;1,180555556
III;0;0;0;0;0;0;0,05;0,169444444;0,283333333;0,397222222;0,461111111;0,511111111;0,511111111;0,447222222;0,355555556;0,247222222;0,141666667;0,044444444;0;0;0;0;0;0;3,619444444;;III;0;0;0;0;0;0;0,025;0,097222222;0,163888889;0,233333333;0,269444444;0,297222222;0,297222222;0,255555556;0,191666667;0,119444444;0,055555556;0,019444444;0;0;0;0;0;0;2,025
IV;0;0;0;0;0;0,036111111;0,141666667;0,275;0,405555556;0,525;0,583333333;0,597222222;0,597222222;0,547222222;0,469444444;0,375;0,269444444;0,141666667;0,036111111;0;0;0;0;0;5;;IV;0;0;0;0;0;0,013888889;0,063888889;0,147222222;0,222222222;0,311111111;0,336111111;0,327777778;0,327777778;0,3;0,255555556;0,191666667;0,141666667;0,063888889;0,013888889;0;0;0;0;0;2,716666667
V;0;0;0;0;0,027777778;0,1;0,213888889;0,369444444;0,483333333;0,566666667;0,602777778;0,602777778;0,602777778;0,566666667;0,483333333;0,397222222;0,305555556;0,213888889;0,105555556;0,027777778;0;0;0;0;5,669444444;;V;0;0;0;0;0,013888889;0,044444444;0,108333333;0,213888889;0,277777778;0,325;0,333333333;0,311111111;0,311111111;0,288888889;0,236111111;0,183333333;0,127777778;0,094444444;0,027777778;0,005555556;0;0;0;0;2,902777778
VI;0;0;0;0,013888889;0,083333333;0,169444444;0,255555556;0,355555556;0,475;0,602777778;0,616666667;0,602777778;0,602777778;0,566666667;0,519444444;0,438888889;0,347222222;0,255555556;0,141666667;0,077777778;0,008333333;0;0;0;6,133333333;;VI;0;0;0;0,005555556;0,041666667;0,091666667;0,141666667;0,2;0,291666667;0,383333333;0,369444444;0,333333333;0,333333333;0,319444444;0,291666667;0,238888889;0,183333333;0,127777778;0,055555556;0,036111111;0,002777778;0;0;0;3,447222222
VII;0;0;0;0,002777778;0,05;0,119444444;0,191666667;0,341666667;0,425;0,511111111;0,547222222;0,566666667;0,566666667;0,511111111;0,425;0,341666667;0,269444444;0,191666667;0,119444444;0,05;0,002777778;0;0;0;5,233333333;;VII;0;0;0;0;0,013888889;0,047222222;0,086111111;0,2;0,247222222;0,297222222;0,305555556;0,311111111;0,311111111;0,269444444;0,211111111;0,15;0,113888889;0,072222222;0,041666667;0,013888889;0;0;0;0;2,691666667
VIII;0;0;0;0;0,005555556;0,05;0,119444444;0,219444444;0,341666667;0,461111111;0,497222222;0,511111111;0,511111111;0,461111111;0,397222222;0,319444444;0,233333333;0,141666667;0,055555556;0,005555556;0;0;0;0;4,330555556;;VIII;0;0;0;0;0;0,011111111;0,041666667;0,105555556;0,186111111;0,277777778;0,283333333;0,277777778;0,277777778;0,247222222;0,202777778;0,155555556;0,113888889;0,063888889;0,013888889;0;0;0;0;0;2,258333333
IX;0;0;0;0;0;0,005555556;0,05;0,141666667;0,283333333;0,383333333;0,425;0,447222222;0,447222222;0,411111111;0,319444444;0,247222222;0,141666667;0,05;0,005555556;0;0;0;0;0;3,358333333;;IX;0;0;0;0;0;0,002777778;0,008333333;0,055555556;0,163888889;0,219444444;0,244444444;0,255555556;0,255555556;0,233333333;0,155555556;0,119444444;0,05;0,008333333;0,002777778;0;0;0;0;0;1,775
X;0;0;0;0;0;0;0,002777778;0,05;0,155555556;0,255555556;0,327777778;0,355555556;0,355555556;0,327777778;0,255555556;0,155555556;0,05;0,002777778;0;0;0;0;0;0;2,294444444;;X;0;0;0;0;0;0;0;0,019444444;0,083333333;0,152777778;0,2;0,213888889;0,213888889;0,191666667;0,144444444;0,077777778;0,013888889;0;0;0;0;0;0;0;1,311111111
XI;0;0;0;0;0;0;0;0,002777778;0,063888889;0,136111111;0,205555556;0,241666667;0,241666667;0,205555556;0,136111111;0,063888889;0,002777778;0;0;0;0;0;0;0;1,3;;XI;0;0;0;0;0;0;0;0;0,027777778;0,058333333;0,105555556;0,136111111;0,136111111;0,113888889;0,072222222;0,036111111;0;0;0;0;0;0;0;0;0,686111111
XII;0;0;0;0;0;0;0;0;0,011111111;0,072222222;0,127777778;0,169444444;0,169444444;0,127777778;0,072222222;0,011111111;0;0;0;0;0;0;0;0;0,761111111;;XII;0;0;0;0;0;0;0;0;0,002777778;0,022222222;0,05;0,083333333;0,083333333;0,05;0,022222222;0;0;0;0;0;0;0;0;0;0,313888889
S;0;0;0;0,016666667;0,166666667;0,480555556;1,025;1,955555556;3,088888889;4,230555556;4,875;5,191666667;5,191666667;4,652777778;3,752777778;2,758333333;1,791666667;1,041666667;0,463888889;0,161111111;0,011111111;0;0;0;40,85555556;;S;0;0;0;0,005555556;0,069444444;0,211111111;0,475;1,047222222;1,725;2,422222222;2,75;2,891666667;2,891666667;2,530555556;1,933333333;1,336111111;0,811111111;0,45;0,155555556;0,055555556;0,002777778;0;0;0;21,76388889
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
106;;Тулун;;;;;;;;;;Иркутская область;;;;;;;;;;54,4;;100,5;;;106;;Тулун;;;;;;;;;;Иркутская область;;;;;;;;;;54,4;;100,5;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0;0,025;0,077777778;0,141666667;0,183333333;0,183333333;0,141666667;0,077777778;0,025;0;0;0;0;0;0;0;0;0,855555556;;I;0;0;0;0;0;0;0;0;0,005555556;0,022222222;0,05;0,077777778;0,077777778;0,055555556;0,027777778;0,005555556;0;0;0;0;0;0;0;0;0,322222222
II;0;0;0;0;0;0;0;0,025;0,113888889;0,2;0,277777778;0,327777778;0,327777778;0,277777778;0,2;0,113888889;0,025;0;0;0;0;0;0;0;1,888888889;;II;0;0;0;0;0;0;0;0,011111111;0,036111111;0,077777778;0,119444444;0,155555556;0,155555556;0,127777778;0,086111111;0,036111111;0,011111111;0;0;0;0;0;0;0;0,816666667
III;0;0;0;0;0;0;0,030555556;0,15;0,255555556;0,369444444;0,455555556;0,511111111;0,511111111;0,455555556;0,369444444;0,269444444;0,15;0,036111111;0;0;0;0;0;0;3,563888889;;III;0;0;0;0;0;0;0,011111111;0,05;0,1;0,177777778;0,233333333;0,263888889;0,263888889;0,233333333;0,183333333;0,119444444;0,055555556;0,011111111;0;0;0;0;0;0;1,702777778
IV;0;0;0;0;0;0,036111111;0,113888889;0,227777778;0,347222222;0,438888889;0,511111111;0,561111111;0,561111111;0,511111111;0,438888889;0,361111111;0,247222222;0,136111111;0,041666667;0;0;0;0;0;4,533333333;;IV;0;0;0;0;0;0,013888889;0,041666667;0,091666667;0,155555556;0,219444444;0,269444444;0,291666667;0,291666667;0,269444444;0,227777778;0,177777778;0,113888889;0,055555556;0,013888889;0;0;0;0;0;2,233333333
V;0;0;0;0;0,027777778;0,091666667;0,183333333;0,305555556;0,411111111;0,497222222;0,547222222;0,583333333;0,583333333;0,538888889;0,475;0,405555556;0,305555556;0,2;0,1;0,036111111;0;0;0;0;5,291666667;;V;0;0;0;0;0,013888889;0,05;0,086111111;0,141666667;0,213888889;0,263888889;0,291666667;0,311111111;0,311111111;0,291666667;0,247222222;0,2;0,141666667;0,086111111;0,036111111;0,008333333;0;0;0;0;2,694444444
VI;0;0;0;0,005555556;0,055555556;0,141666667;0,241666667;0,341666667;0,438888889;0,547222222;0,611111111;0,638888889;0,638888889;0,588888889;0,525;0,455555556;0,355555556;0,247222222;0,141666667;0,055555556;0,005555556;0;0;0;6,036111111;;VI;0;0;0;0,005555556;0,036111111;0,072222222;0,127777778;0,2;0,277777778;0,333333333;0,369444444;0,391666667;0,391666667;0,361111111;0,319444444;0,263888889;0,183333333;0,105555556;0,055555556;0,022222222;0;0;0;0;3,516666667
VII;0;0;0;0,002777778;0,041666667;0,113888889;0,205555556;0,305555556;0,419444444;0,511111111;0,566666667;0,597222222;0,597222222;0,547222222;0,483333333;0,411111111;0,305555556;0,2;0,113888889;0,036111111;0,002777778;0;0;0;5,461111111;;VII;0;0;0;0,002777778;0,022222222;0,055555556;0,105555556;0,169444444;0,241666667;0,311111111;0,341666667;0,355555556;0,355555556;0,319444444;0,277777778;0,233333333;0,169444444;0,105555556;0,05;0,022222222;0,002777778;0;0;0;3,141666667
VIII;0;0;0;0;0,002777778;0,05;0,136111111;0,233333333;0,333333333;0,425;0,483333333;0,525;0,525;0,483333333;0,425;0,355555556;0,263888889;0,141666667;0,055555556;0,008333333;0;0;0;0;4,447222222;;VIII;0;0;0;0;0,002777778;0,022222222;0,055555556;0,113888889;0,177777778;0,241666667;0,283333333;0,305555556;0,305555556;0,283333333;0,247222222;0,205555556;0,141666667;0,077777778;0,022222222;0,002777778;0;0;0;0;2,488888889
IX;0;0;0;0;0;0,002777778;0,041666667;0,141666667;0,233333333;0,327777778;0,383333333;0,411111111;0,411111111;0,383333333;0,327777778;0,247222222;0,163888889;0,077777778;0,005555556;0;0;0;0;0;3,158333333;;IX;0;0;0;0;0;0;0,013888889;0,063888889;0,119444444;0,177777778;0,205555556;0,219444444;0,219444444;0,205555556;0,177777778;0,127777778;0,072222222;0,022222222;0;0;0;0;0;0;1,625
X;0;0;0;0;0;0;0,002777778;0,036111111;0,105555556;0,191666667;0,255555556;0,297222222;0,297222222;0,269444444;0,213888889;0,136111111;0,055555556;0,002777778;0;0;0;0;0;0;1,863888889;;X;0;0;0;0;0;0;0;0,022222222;0,055555556;0,091666667;0,119444444;0,15;0,15;0,136111111;0,1;0,055555556;0,022222222;0;0;0;0;0;0;0;0,902777778
XI;0;0;0;0;0;0;0;0;0,036111111;0,1;0,15;0,191666667;0,191666667;0,155555556;0,105555556;0,041666667;0;0;0;0;0;0;0;0;0,972222222;;XI;0;0;0;0;0;0;0;-0,027777778;-0,027777778;0,005555556;0,030555556;0,072222222;0,091666667;0,086111111;0,072222222;0,041666667;0;0;0;0;0;0;0;0;0,344444444
XII;0;0;0;0;0;0;0;0;0,008333333;0,05;0,091666667;0,141666667;0,141666667;0,113888889;0,072222222;0,013888889;0;0;0;0;0;0;0;0;0,633333333;;XII;0;0;0;0;0;0;0;-0,008333333;-0,033333333;-0,013888889;0;0,05;0,063888889;0,063888889;0,063888889;0,013888889;0;0;0;0;0;0;0;0;0,2
S;0;0;0;0,008333333;0,127777778;0,436111111;0,955555556;1,766666667;2,727777778;3,736111111;4,475;4,969444444;4,969444444;4,466666667;3,713888889;2,836111111;1,872222222;1,041666667;0,458333333;0,136111111;0,008333333;0;0;0;38,70555556;;S;0;0;0;0,008333333;0,075;0,213888889;0,441666667;0,827777778;1,322222222;1,908333333;2,313888889;2,644444444;2,677777778;2,433333333;2,030555556;1,480555556;0,911111111;0,463888889;0,177777778;0,055555556;0,002777778;0;0;0;19,98888889
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
107;;Бомнак;;;;;;;;;;Амурская область;;;;;;;;;;54,7;;129;;;107;;Бомнак;;;;;;;;;;Амурская область;;;;;;;;;;54,7;;129;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0;0,025;0,105555556;0,163888889;0,213888889;0,213888889;0,155555556;0,091666667;0,025;0;0;0;0;0;0;0;0;0,994444444;;I;0;0;0;0;0;0;0;0;0,005555556;0,041666667;0,086111111;0,119444444;0,119444444;0,086111111;0,041666667;0,005555556;0;0;0;0;0;0;0;0;0,505555556
II;0;0;0;0;0;0;0;0,036111111;0,127777778;0,227777778;0,297222222;0,341666667;0,341666667;0,269444444;0,191666667;0,105555556;0,025;0;0;0;0;0;0;0;1,963888889;;II;0;0;0;0;0;0;0;0,019444444;0,072222222;0,127777778;0,169444444;0,205555556;0,205555556;0,163888889;0,105555556;0,055555556;0,011111111;0;0;0;0;0;0;0;1,136111111
III;0;0;0;0;0;0;0,025;0,15;0,269444444;0,388888889;0,475;0,533333333;0,533333333;0,461111111;0,369444444;0,261111111;0,144444444;0,019444444;0;0;0;0;0;0;3,630555556;;III;0;0;0;0;0;0;0,011111111;0,086111111;0,163888889;0,241666667;0,291666667;0,333333333;0,333333333;0,283333333;0,219444444;0,15;0,077777778;0,005555556;0;0;0;0;0;0;2,197222222
IV;0;0;0;0;0;0,013888889;0,086111111;0,175;0,297222222;0,411111111;0,519444444;0,566666667;0,588888889;0,575;0,505555556;0,419444444;0,302777778;0,186111111;0,069444444;0,013888889;0;0;0;0;4,730555556;;IV;0;0;0;0;0;0;0,008333333;0,041666667;0,113888889;0,191666667;0,263888889;0,297222222;0,319444444;0,319444444;0,277777778;0,227777778;0,169444444;0,113888889;0,055555556;0,013888889;0;0;0;0;2,413888889
V;0;0;0;0;0,013888889;0,077777778;0,158333333;0,238888889;0,355555556;0,447222222;0,533333333;0,561111111;0,588888889;0,569444444;0,502777778;0,433333333;0,352777778;0,258333333;0,141666667;0,05;0,008333333;0;0;0;5,291666667;;V;0;0;0;0;0;0,013888889;0,041666667;0,091666667;0,163888889;0,227777778;0,291666667;0,319444444;0,333333333;0,319444444;0,283333333;0,241666667;0,191666667;0,136111111;0,077777778;0,036111111;0,008333333;0;0;0;2,777777778
VI;0;0;0;0,008333333;0,058333333;0,133333333;0,197222222;0,288888889;0,383333333;0,475;0,569444444;0,638888889;0,661111111;0,647222222;0,569444444;0,502777778;0,405555556;0,297222222;0,205555556;0,113888889;0,038888889;0,002777778;0;0;6,197222222;;VI;0;0;0;0;0,008333333;0,041666667;0,077777778;0,127777778;0,2;0,277777778;0,355555556;0,397222222;0,419444444;0,419444444;0,369444444;0,311111111;0,241666667;0,177777778;0,113888889;0,063888889;0,030555556;0,002777778;0;0;3,636111111
VII;0;0;0;0,002777778;0,038888889;0,077777778;0,163888889;0,261111111;0,347222222;0,433333333;0,497222222;0,552777778;0,602777778;0,588888889;0,525;0,455555556;0,361111111;0,269444444;0,163888889;0,086111111;0,016666667;0,002777778;0;0;5,447222222;;VII;0;0;0;0;0,002777778;0,013888889;0,05;0,091666667;0,15;0,213888889;0,269444444;0,319444444;0,369444444;0,369444444;0,327777778;0,277777778;0,219444444;0,163888889;0,1;0,05;0,013888889;0,002777778;0;0;3,005555556
VIII;0;0;0;0,005555556;0,036111111;0,044444444;0,094444444;0,169444444;0,266666667;0,383333333;0,466666667;0,513888889;0,525;0,505555556;0,438888889;0,369444444;0,283333333;0,186111111;0,061111111;0,013888889;0,002777778;0;0;0;4,366666667;;VIII;0;0;0;0;0;0,002777778;0,013888889;0,055555556;0,119444444;0,2;0,263888889;0,294444444;0,305555556;0,305555556;0,269444444;0,227777778;0,177777778;0,113888889;0,055555556;0,013888889;0,002777778;0;0;0;2,422222222
IX;0;0;0;0;0,005555556;0,002777778;0,044444444;0,091666667;0,161111111;0,269444444;0,372222222;0,425;0,438888889;0,419444444;0,369444444;0,283333333;0,205555556;0,113888889;0,022222222;0;0;0;0;0;3,225;;IX;0;0;0;0;0;0;0;0,013888889;0,063888889;0,136111111;0,2;0,233333333;0,247222222;0,247222222;0,213888889;0,163888889;0,113888889;0,063888889;0,022222222;0;0;0;0;0;1,719444444
X;0;0;0;0;0;0;0,002777778;0,038888889;0,097222222;0,208333333;0,269444444;0,316666667;0,347222222;0,336111111;0,288888889;0,183333333;0,1;0,016666667;0,002777778;0;0;0;0;0;2,208333333;;X;0;0;0;0;0;0;0;0,002777778;0,027777778;0,086111111;0,141666667;0,183333333;0,213888889;0,213888889;0,169444444;0,119444444;0,063888889;0,013888889;0,002777778;0;0;0;0;0;1,238888889
XI;0;0;0;0;0;0;0;0,002777778;0,05;0,133333333;0,191666667;0,247222222;0,247222222;0,183333333;0,125;0,044444444;0,002777778;0;0;0;0;0;0;0;1,227777778;;XI;0;0;0;0;0;0;0;0;0;0,013888889;0,055555556;0,1;0,136111111;0,136111111;0,1;0,055555556;0,013888889;0;0;0;0;0;0;0;0,611111111
XII;0;0;0;0;0;0;0;0;0,008333333;0,072222222;0,119444444;0,169444444;0,169444444;0,113888889;0,066666667;0,008333333;0;0;0;0;0;0;0;0;0,727777778;;XII;0;0;0;0;0;0;0;0;0,002777778;0,030555556;0,05;0,086111111;0,086111111;0,055555556;0,036111111;0,002777778;0;0;0;0;0;0;0;0;0,35
S;0;0;0;0,016666667;0,152777778;0,35;0,772222222;1,452777778;2,388888889;3,555555556;4,475;5,080555556;5,258333333;4,825;4,044444444;3,091666667;2,183333333;1,347222222;0,666666667;0,277777778;0,066666667;0,005555556;0;0;40,01111111;;S;0;0;0;0;0,011111111;0,072222222;0,202777778;0,530555556;1,083333333;1,788888889;2,438888889;2,888888889;3,088888889;2,919444444;2,413888889;1,838888889;1,280555556;0,788888889;0,427777778;0,177777778;0,055555556;0,005555556;0;0;22,01388889
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
108;;   Смоленеск;;;;;;;;;;Смоленская обл.;;;;;;;;;;54,8;;32,1;;;108;;   Смоленеск;;;;;;;;;;Смоленская обл.;;;;;;;;;;54,8;;32,1;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0;0,019444444;0,061111111;0,111111111;0,141666667;0,141666667;0,116666667;0,069444444;0,019444444;0;0;0;0;0;0;0;0;0,680555556;;I;0;0;0;0;0;0;0;0;0,002777778;0,013888889;0,033333333;0,047222222;0,047222222;0,038888889;0,019444444;0,002777778;0;0;0;0;0;0;0;0;0,205555556
II;0;0;0;0;0;0;0;0,019444444;0,075;0,144444444;0,211111111;0,247222222;0,247222222;0,211111111;0,15;0,077777778;0,019444444;0;0;0;0;0;0;0;1,402777778;;II;0;0;0;0;0;0;0;0,005555556;0,019444444;0,047222222;0,077777778;0,097222222;0,097222222;0,077777778;0,052777778;0,022222222;0,005555556;0;0;0;0;0;0;0;0,502777778
III;0;0;0;0;0;0;0,022222222;0,088888889;0,183333333;0,280555556;0,355555556;0,388888889;0,386111111;0,352777778;0,283333333;0,191666667;0,1;0,025;0;0;0;0;0;0;2,658333333;;III;0;0;0;0;0;0;0,002777778;0,025;0,063888889;0,108333333;0,15;0,166666667;0,166666667;0,152777778;0,116666667;0,072222222;0,033333333;0,002777778;0;0;0;0;0;0;1,061111111
IV;0;0;0;0;0;0,027777778;0,094444444;0,191666667;0,291666667;0,372222222;0,441666667;0,463888889;0,461111111;0,427777778;0,363888889;0,275;0,183333333;0,094444444;0,027777778;0;0;0;0;0;3,716666667;;IV;0;0;0;0;0;0,008333333;0,033333333;0,080555556;0,133333333;0,180555556;0,222222222;0,233333333;0,230555556;0,208333333;0,175;0,122222222;0,072222222;0,027777778;0,005555556;0;0;0;0;0;1,733333333
V;0;0;0;0;0,025;0,094444444;0,186111111;0,294444444;0,405555556;0,5;0,544444444;0,561111111;0,558333333;0,516666667;0,458333333;0,383333333;0,283333333;0,177777778;0,088888889;0,025;0;0;0;0;5,102777778;;V;0;0;0;0;0,005555556;0,033333333;0,083333333;0,15;0,219444444;0,277777778;0,308333333;0,302777778;0,297222222;0,263888889;0,233333333;0,186111111;0,130555556;0,072222222;0,027777778;0,002777778;0;0;0;0;2,594444444
VI;0;0;0;0,008333333;0,047222222;0,130555556;0,244444444;0,369444444;0,480555556;0,563888889;0,605555556;0,608333333;0,608333333;0,583333333;0,527777778;0,441666667;0,341666667;0,233333333;0,127777778;0,05;0,008333333;0;0;0;5,980555556;;VI;0;0;0;0;0,013888889;0,055555556;0,127777778;0,213888889;0,286111111;0,338888889;0,35;0,333333333;0,333333333;0,313888889;0,283333333;0,230555556;0,172222222;0,111111111;0,05;0,013888889;0;0;0;0;3,227777778
VII;0;0;0;0,002777778;0,033333333;0,105555556;0,211111111;0,316666667;0,422222222;0,508333333;0,555555556;0,583333333;0,580555556;0,552777778;0,483333333;0,4;0,308333333;0,208333333;0,111111111;0,036111111;0,002777778;0;0;0;5,422222222;;VII;0;0;0;0;0,008333333;0,044444444;0,105555556;0,172222222;0,238888889;0,291666667;0,305555556;0,313888889;0,311111111;0,291666667;0,252777778;0,202777778;0,147222222;0,094444444;0,041666667;0,005555556;0;0;0;0;2,827777778
VIII;0;0;0;0;0,005555556;0,05;0,138888889;0,238888889;0,341666667;0,433333333;0,494444444;0,516666667;0,516666667;0,491666667;0,419444444;0,336111111;0,233333333;0,138888889;0,05;0,005555556;0;0;0;0;4,411111111;;VIII;0;0;0;0;0;0,013888889;0,058333333;0,116666667;0,180555556;0,233333333;0,263888889;0,266666667;0,266666667;0,255555556;0,205555556;0,163888889;0,102777778;0,055555556;0,013888889;0;0;0;0;0;2,197222222
IX;0;0;0;0;0;0,005555556;0,05;0,130555556;0,222222222;0,311111111;0,369444444;0,391666667;0,391666667;0,352777778;0,294444444;0,222222222;0,136111111;0,052777778;0,005555556;0;0;0;0;0;2,936111111;;IX;0;0;0;0;0;0;0,013888889;0,052777778;0,105555556;0,161111111;0,197222222;0,202777778;0,202777778;0,177777778;0,138888889;0,1;0,052777778;0,013888889;0;0;0;0;0;0;1,419444444
X;0;0;0;0;0;0;0,002777778;0,033333333;0,083333333;0,138888889;0,186111111;0,211111111;0,211111111;0,186111111;0,15;0,088888889;0,033333333;0,002777778;0;0;0;0;0;0;1,327777778;;X;0;0;0;0;0;0;0;0,008333333;0,025;0,05;0,072222222;0,086111111;0,086111111;0,072222222;0,061111111;0,030555556;0,008333333;0;0;0;0;0;0;0;0,5
XI;0;0;0;0;0;0;0;0;0,019444444;0,052777778;0,083333333;0,102777778;0,102777778;0,086111111;0,055555556;0,022222222;0;0;0;0;0;0;0;0;0,525;;XI;0;0;0;0;0;0;0;0;0,002777778;0,013888889;0,022222222;0,030555556;0,030555556;0,025;0,013888889;0,005555556;0;0;0;0;0;0;0;0;0,144444444
XII;0;0;0;0;0;0;0;0;0,005555556;0,030555556;0,058333333;0,080555556;0,080555556;0,063888889;0,033333333;0,005555556;0;0;0;0;0;0;0;0;0,358333333;;XII;0;0;0;0;0;0;0;0;0;0,002777778;0,008333333;0,013888889;0,013888889;0,011111111;0,002777778;0;0;0;0;0;0;0;0;0;0,052777778
S;0;0;0;0,011111111;0,111111111;0,413888889;0,95;1,683333333;2,55;3,397222222;4,016666667;4,297222222;4,286111111;3,941666667;3,288888889;2,463888889;1,638888889;0,933333333;0,411111111;0,116666667;0,011111111;0;0;0;34,52222222;;S;0;0;0;0;0,027777778;0,155555556;0,425;0,825;1,277777778;1,719444444;2,011111111;2,094444444;2,083333333;1,888888889;1,555555556;1,138888889;0,725;0,377777778;0,138888889;0,022222222;0;0;0;0;16,46666667
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
109;;Каунас;;;;;;;;;;Латвия;;;;;;;;;;54,9;;23,9;;;109;;Каунас;;;;;;;;;;Латвия;;;;;;;;;;54,9;;23,9;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0;0,016666667;0,055555556;0,091666667;0,113888889;0,113888889;0,091666667;0,055555556;0,013888889;0;0;0;0;0;0;0;0;0,552777778;;I;0;0;0;0;0;0;0;0;0,002777778;0,011111111;0,025;0,027777778;0,030555556;0,022222222;0,011111111;0,002777778;0;0;0;0;0;0;0;0;0,133333333
II;0;0;0;0;0;0;0;0,016666667;0,066666667;0,122222222;0,183333333;0,213888889;0,216666667;0,186111111;0,127777778;0,066666667;0,013888889;0;0;0;0;0;0;0;1,213888889;;II;0;0;0;0;0;0;0;0,002777778;0,019444444;0,027777778;0,058333333;0,075;0,075;0,061111111;0,036111111;0,008333333;0;0;0;0;0;0;0;0;0,363888889
