ID;Производитель;Модель;Мощность, кВт;Диаметр,м;Регулир.;Мультипликатор;Оффшорисполн.;Макс.скорость, м/с;Производство;Высота башни, м;Мин.скорость, м/с;Ном.скорость, м/с;Макс.скорость, м/с;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Число лопастей;Угол лопасти;Высота втулки, м;Вращ. ВК, об/мин;перед. Число;Тип ген-ра;Напряж.ген., кВ;Вращ.рот, об/мин;Лопасть;Ротор;Гондола;Башня;Общий;Страна;Шум, дБ(А);Систмы регулирования;Тормозная система;;;Сайт;;;;;;;;Видео
24;Alizeo;Alizeo 1000/60;1000;60;Pitch;No;No;15;Available;50;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18Гц;;;0,69;50Гц;;;;;;Франция;;;;;;http://www.groupe-alizeo.com/products.htm;;;;;;;;
25;Alizeo;Alizeo 1000/64;1000;64;Pitch;No;No;15;Available;50;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18Гц;;;0,69;50Гц;;;;;;Франция;;;;;;http://www.groupe-alizeo.com/products.htm;;;;;;;;
26;Alstom Power;100;3000;100,8;Pitch;Yes;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Франция;;;;;;http://www.alstom.com/power/renewables/wind/turbines/puretorque/;;;;;;;;
27;Alstom Power;110;3000;109,8;Pitch;Yes;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Франция;;;;;;http://www.alstom.com/power/renewables/wind/turbines/puretorque/;;;;;;;;
28;Alstom Power;80;1670;80;Pitch;No;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Франция;;;;;;http://www.alstom.com/power/renewables/wind/turbines/puretorque/;;;;;;;;
29;Alstom Power;86;1670;85,5;Pitch;No;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Франция;;;;;;http://www.alstom.com/power/renewables/wind/turbines/puretorque/;;;;;;;;
30;Areva;M5000;5000;116;Pitch;Yes;Yes;25;Available;100;4;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Сг, пост.магниты;3,3;;;;;;;Франция;;;;;;http://www.areva-wind.com/1/presse/infomaterial/;;;;;;;;http://www.areva-wind.com/1/m5000/technology/technologymovie/
31;Autoflug;A1200;1200;61;Pitch;Yes;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Avantis;AV 1010;2300;100,6;ND;No;No;25;Available;99;3;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 14.3/16;;Сг, пост.магниты;0,69;;;;;;;Германия;;;;;;http://www.avantis-energy.com/index2.html#;;;;;;;;красивый сайт
33;Avantis;AV 928;2500;93,2;ND;No;No;25;Available;80;3;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/18;;Сг, пост.магниты;0,7;;;;;;;Германия;;;;;;http://www.avantis-energy.com/index2.html#;;;;;;;;красивый сайт
34;AVIC Huide;HD1000;1000;55,4;Pitch;ND;No;25;Available;50;3,5;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.6-21.95;;;;;;;;;;Китай;;;;;;не грузится;;;;;;;;
35;AVIC Huide;HD1100;1100;55;Pitch;ND;No;25;Available;50;3,5;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.6-21.95;;;;;;;;;;Китай;;;;;;не грузится;;;;;;;;
36;AVIC Huide;HD2000;2000;93,2;Pitch;ND;No;25;Available;85/100;3,5;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.1-17.1;;;;;;;;;;Китай;;;;;;не грузится;;;;;;;;
37;AWE;52-750;750;52;Pitch;No;No;25;Available;40/75;2;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;Канада;;;;;;не грузится;;;;;;;;
38;AWE;52-900;900;52;Pitch;No;No;25;Available;40/75;2;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;Канада;;;;;;не грузится;;;;;;;;
39;AWE;54-900;900;54;Pitch;No;No;25;Available;40/75;2;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;Канада;;;;;;не грузится;;;;;;;;
40;Bard;VM;5000;122;ND;Yes;Yes;30;Available;90;3;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аг, ДП;1,2;;;;;;;Германия;;;;;;http://www.bard-offshore.de/en/concept/wec/turbine;;;;;;;;нет отдельного файла по ВЭУ
41;Blaaster;3000;3000;100;ND;No;No;ND;Under dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Bonus;B15/65;65;15,2;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Bonus;B19/120;120;19,4;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Bonus;B20/95;95;20;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Bonus;B23/150;150;23;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
