название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Челно-Вершины;54.4147400000001;51.08133;0;27
Омск;54.9947100000001;73.36476;0;24
Большеречье;56.09547;74.64036;0;27
Большие Уки;56.94791;72.6283300000001;0;26
Знаменское;43.66963;45.1229200000001;0;26
Исилькуль;54.9050700000001;71.26257;0;28
Калачинск;55.05231;74.5799900000001;0;27
Любимовка (Оконешниковский р-н);54.66583;75.11161;0;28
Называевск;55.5636000000001;71.35369;0;24
Одесское;54.2110900000001;72.96396;0;28
Павлоградка;54.19807;73.55861;0;27
Полтавка;54.3673600000001;71.7570400000001;0;28
Русская Поляна;53.7772000000001;73.8692300000001;0;25
Саргатское;55.6099100000001;73.4993900000001;0;28
Седельниково;56.9480300000001;75.2994400000001;0;24
Тара;56.8968400000001;74.3862800000001;0;23
Тевриз;57.51775;72.40434;0;27
Тюкалинск;55.8760100000001;72.2126000000001;0;25
Усть-Ишим;57.69138;71.16535;0;28
Черлак;54.15889;74.8271800000001;0;28
Шербакуль;54.62638;72.42395;0;30
Липецк;52.6055600000001;39.5975;0;29
Елец;52.59299;38.4881;0;22
Лев Толстой;53.2097600000001;39.44624;0;23
Хлевное;52.19469;39.0890400000001;0;23
Псков;57.81557;28.3380300000001;0;23
Великие Луки;56.33642;30.5347100000001;0;23
Гдов;58.7437200000001;27.8188200000001;0;23
Дно;57.8257800000001;29.96407;0;23
Опочка;56.70734;28.6917800000001;0;20
Пушкинские Горы;57.02635;28.9278200000001;0;22
Саратов;51.53182;46.0104200000001;0;24
Александров Гай;50.14374;48.5858900000001;0;23
Аткарск;51.87084;44.9952000000001;0;27
Базарный Карабулак;52.2674000000001;46.4151600000001;0;26
Балаково;52.01989;47.80355;0;25
Балашов;51.54416;43.1769;0;23
Ершов;51.34984;48.26739;0;24
Калининск;51.4999000000001;44.4848900000001;0;23
Красный Кут;50.9452900000001;46.97139;0;27
Маркс;51.7067200000001;46.75206;0;24
Новоузенск;50.46011;48.1400100000001;0;24
Озинки;51.1966200000001;49.7290400000001;0;24
Октябрьский Городок (Татищевский район);51.63509;45.4552400000001;0;23
Перелюб;51.86008;50.3525300000001;0;23
Петровск;52.29925;45.39714;0;25
Пугачёв;52.02369;48.81143;0;24
Росташи (Аркадакский р-н);51.8608300000001;43.5877400000001;0;20
Ртищево;52.2568800000001;43.77979;0;22
Сплавнуха (Красноармейский район);51.0690900000001;45.3781000000001;0;24
Хвалынск;52.4925700000001;48.1110400000001;0;24
Томск;56.49337;84.9481900000001;0;20
Александровское;44.7031200000001;42.99035;0;30
Бакчар;57.0253700000001;82.08558;0;23
Батурино (Асиновский р-н);57.7528300000001;85.1884400000001;0;25
Каргасок;59.0480000000001;80.8639400000001;0;24
Кедровый;57.5639800000001;79.5626300000001;0;24
Кожевниково;56.2531900000001;83.9504000000001;0;24
Колпашево;58.3100600000001;82.9089000000001;0;19
Молчаново;57.5705600000001;83.7537500000001;0;24
Новый Васюган (Каргасокский район);58.5769900000001;76.5028600000001;0;24
Парабель;58.71416;81.5011200000001;0;24
Первомайское;45.7105300000001;33.85585;0;24
Подгорное;57.7856300000001;82.65448;0;23
Средний Васюган (Каргасокский район);59.2279800000001;78.2482200000001;0;23
Старица(Парабельский район);58.13581;80.5817300000001;0;28
Орел;52.9712900000001;36.0852800000001;0;22
Болхов;53.4476700000001;36.0055600000001;0;24
Верховье;52.81111;37.23296;0;25
Дмитровск;52.50773;35.15669;0;23
Ливны;52.4226800000001;37.6480100000001;0;24
Мценск;53.27883;36.5752900000001;0;21
Казань;55.8003;49.1082700000001;0;22
Азнакаево;54.8606500000001;53.08079;0;20
Акташ Русский (Альметьевский район);55.0372300000001;52.10846;0;23
Арск;56.0916100000001;49.8811000000001;0;25
Бегишево (аэропорт);51.7727800000001;55.3219300000001;0;24
Большие Кайбицы;55.40297;48.1867300000001;0;23
Бугульма;54.5438;52.79954;0;26
Елабуга;55.7610100000001;52.04814;0;20
Зеленодольск;55.8462000000001;48.50748;0;30
Лаишево;55.40133;49.5537200000001;0;25
Мензелинск;55.7210600000001;53.1008200000001;0;28
Муслюмово;55.3092800000001;53.1979000000001;0;22
Тетюши;54.94034;48.82996;0;25
Чистополь;55.35997;50.6497600000001;0;26
Чулпаново (Нурлатский р-н);54.4827900000001;50.4096500000001;0;25
Кызыл;51.72051;94.4365900000001;0;22
Бай-Хаак;51.1640100000001;94.4694700000001;0;24
Кунгуртуг;50.5993800000001;97.5197800000001;0;20
Мугур-Аксы;50.37775;90.4419;0;22
Сарыг-Сеп;51.4921900000001;95.5599700000001;0;25
Тоора-Хем;52.46743;96.1177200000001;0;27
Туран;52.1387700000001;93.9054800000001;0;26
Тээли;51.0114100000001;90.2123800000001;0;22
Чадан;51.29175;91.5650900000001;0;29
Шагонар;51.52383;92.93183;0;28
Эрзин;50.25573;95.1624200000001;0;22
Рязань;54.62985;39.7429900000001;0;22
Елатьма (Касимовский р-н);54.9682300000001;41.7465800000001;0;19
Михайлов;54.2340500000001;39.02531;0;18
Павелец (Скопинский р-н);53.8383200000001;39.27333;0;18
Ряжск;53.71781;40.09214;0;21
Сараи;53.7300500000001;40.99731;0;18
Сасово;54.34013;41.9091700000001;0;23
Старожилово;54.2335;39.90968;0;20
Тума (Клепиковский р-н);55.1466;40.55206;0;20
Шилово;54.3135100000001;40.87978;0;17
Ижевск;56.85279;53.21167;0;20
Глазов;58.1400800000001;52.65164;0;28
Можга;56.4427000000001;52.21394;0;23
Сарапул;56.47774;53.8190900000001;0;24
Селты;57.30974;52.13933;0;20
Абакан;53.72042;91.44419;0;25
Аскиз;53.1283300000001;90.5361500000001;0;28
Бея;53.05256;90.9475100000001;0;26
Большой Он(Таштыпский район);52.0679000000001;89.7584000000001;0;20
Коммунар (Ширинский р-н);54.3476400000001;89.2834000000001;0;23
Неожиданный(Аскизский район);53.3459100000001;89.08302;0;24
Первомайское(Боградский район);54.59085;90.7781200000001;0;27
Таштып;52.78812;89.9127800000001;0;28
Чарков(Усть-Абаканский район);53.70397;90.38239;0;27
Черёмушки(Саяногорский округ);52.85243;91.4181300000001;0;23
Шира;54.4914800000001;89.9624900000001;0;27
Смоленск;54.77885;32.0514600000001;0;21
Велиж;55.60393;31.19329;0;30
Вязьма;55.2414900000001;34.30713;0;25
Гагарин;55.55348;34.9887800000001;0;21
Ельня;54.55929;33.17015;0;21
Починок;54.4115800000001;32.45761;0;24
Рославль;53.95322;32.86375;0;23
Сафоново;55.11812;33.23531;0;24
Ульяновск;54.3079200000001;48.3946300000001;0;24
Димитровград;54.2308800000001;49.5897800000001;0;24
Инза;53.8539000000001;46.3659500000001;0;23
Канадей(Николаевский район);53.16497;47.5326600000001;0;20
Сенгилей;53.95896;48.75922;0;23
Старые Алгаши (Цильнинский район);54.6615400000001;47.74296;0;23
Сурское;54.4794600000001;46.72427;0;19
Тамбов;52.7208600000001;41.4488000000001;0;26
Жердевка;51.8391700000001;41.4772;0;21
Кирсанов;52.65067;42.73168;0;22
Мичуринск;52.8971700000001;40.5037;0;26
Моршанск;53.44464;41.81192;0;23
Новопокровка (Мордовский район);52.1340300000001;40.8694800000001;0;22
Уварово;51.9442700000001;42.2463900000001;0;26
Чебоксары;56.14414;47.24674;0;23
Алатырь;54.84236;46.58622;0;23
Канаш;55.5030300000001;47.4676700000001;0;22
Порецкое;55.19658;46.3215500000001;0;22
Тверь;56.85263;35.93316;0;20
Бежецк;57.787;36.69228;0;24
Белый;55.8347200000001;32.9390000000001;0;24
Бологое;57.8858000000001;34.0498900000001;0;20
Вышний Волочек;57.5811;34.56035;0;20
Кашин;57.36069;37.6098500000001;0;25
Красный Холм;58.05361;37.1176400000001;0;24
Максатиха;57.78623;35.8758100000001;0;20
Медное (Калининский р-н);56.9273900000001;35.5035500000001;0;22
Осташков;57.1377000000001;33.1135100000001;0;19
Старица;56.5058700000001;34.93141;0;24
Торопец;56.4976500000001;31.6408200000001;0;24
Тула;54.1940700000001;37.61875;0;24
Алексин;54.50748;37.1104500000001;0;25
Волово;52.02763;37.8868400000001;0;28
Ефремов;53.1464;38.0945400000001;0;24
Плавск;53.7035000000001;37.28862;0;19
Суворов;54.12287;36.4995700000001;0;24
Узловая;53.9788600000001;38.1602800000001;0;20
Ярославль;57.6330300000001;39.88602;0;18
Брейтово;58.28675;37.86684;0;22
Гаврилов-Ям;57.3037100000001;39.8542200000001;0;20
Данилов;58.1755900000001;40.1737800000001;0;19
Переславль-Залесский;56.7411200000001;38.88133;0;20
Пошехонье;58.5037;39.13082;0;19
Ростов;57.19874;39.4145100000001;0;20
Рыбинск;58.0437200000001;38.8452;0;21
Тутаев;57.86591;39.50685;0;22
Углич;57.52639;38.31631;0;31
Майкоп;44.61373;40.1060600000001;0;23
Гузерипль (Майкопский р-н);44.00384;40.1363700000001;0;25
Даховская(Майкопский район);44.22619;40.2022600000001;0;28
Дондуковская(Гиагинский район);44.86616;40.3441300000001;0;24
Шунтук (Майкопский р-н);44.4530100000001;40.1713500000001;0;20
Благовещенск;50.2568800000001;127.54332;0;24
Архара;49.42382;130.08974;0;20
Асташиха (Бурейский р-н);49.49512;129.47621;0;25
Белогорск;50.9121900000001;128.5128;0;28
Бомнак (Зейский район);54.70827;128.84956;0;25
Братолюбовка (Ромненский район);50.7881100000001;129.42388;0;20
Джалинда (Сковородинский район);53.48769;123.89864;0;20
Екатеринославка;50.36652;129.11611;0;19
Ерофей Павлович (Сковородинский район);53.96664;121.96691;0;24
Завитинск;50.12708;129.45819;0;23
Зея;53.72925;127.22273;0;22
Магдагачи;53.4526900000001;125.82624;0;21
Мазаново;51.63124;128.82356;0;20
Малиновка (Бурейский р-н);49.7823300000001;129.85093;0;23
Норск (Селемджинский р-н);52.3384;129.90234;0;20
Октябрьский (Зейский р-н);53.0300300000001;128.65184;0;24
Поярково;49.63516;128.65172;0;30
Свободный;51.39315;128.12803;0;21
Сергеевка (Благовещенский район);50.74791;127.30162;0;23
Сковородино;53.9774200000001;123.93411;0;24
Стойба(Селемджинский район);52.7936500000001;131.70773;0;19
Тыгда (Магдагачинский р-н);53.1057500000001;126.3354;0;23
Тында;55.1494200000001;124.72563;0;17
Усть-Нюкжа(Тындинский район);56.5630200000001;121.59569;0;25
Усть-Уркима(Тындинский район);55.3188700000001;123.16613;0;18
Ушаково (Шимановский р-н);51.8785;126.56475;0;20
Февральск;52.4593400000001;130.86923;0;19
Черняево(Магдагачинский район);52.79785;126.00206;0;20
Шимановск;52.0027200000001;127.68705;0;23
Экимчан;53.0687300000001;132.94032;0;19
Курган;55.47902;65.31827;0;33
Далматово;56.25928;63.0113200000001;0;21
Звериноголовское;54.4615000000001;64.85078;0;28
Макушино;55.20534;67.2487800000001;0;27
Шадринск;56.1373400000001;63.6755000000001;0;34
Шатрово;56.5111400000001;64.6347700000001;0;24
Шумиха;55.22436;63.2826000000001;0;24
Махачкала;42.98267;47.4715400000001;0;33
Ахты;41.4712000000001;47.72997;0;23
Бабаюрт;43.59434;46.78112;0;23
Буйнакск;42.8192300000001;47.1226500000001;0;25
Гуниб;42.3880100000001;46.9626700000001;0;26
Дербент;42.0524300000001;48.2796700000001;0;25
Избербаш;42.56516;47.87143;0;29
Касумкент;41.6766900000001;48.15916;0;13
Кизляр;43.8463600000001;46.71068;0;29
Кочубей (Тарумовский р-н);44.38257;46.55607;0;29
Кумух;42.17064;47.1182000000001;0;20
Куппа (Левашинский р-н);42.4259000000001;47.1215800000001;0;28
Сергокала;42.45018;47.6648500000001;0;27
Терекли-Мектеб;44.16472;45.8655400000001;0;22
Тлярата;42.1067400000001;46.35247;0;29
Хасавюрт;43.2316500000001;46.5952100000001;0;23
Хунзах;42.54364;46.70579;0;35
Южно-Сухокумск;44.6616900000001;45.65945;0;29
Астрахань;46.34927;48.0338400000001;0;25
Верхний Баскунчак (Ахтубинский район);48.23555;46.7233900000001;0;22
Досанг (Красноярский р-н);46.9083600000001;47.91682;0;24
Зеленга (Володарский р-н);46.17724;48.6040100000001;0;28
Лиман;48.9965800000001;37.79546;0;22
Харабали;47.4171900000001;47.2365100000001;0;28
Чёрный Яр;48.06001;46.10272;0;24
Биробиджан;48.78799;132.93066;0;24
Екатерино-Никольское (Октябрьский район);47.75559;130.96769;0;18
Ленинское;47.9333500000001;132.62192;0;24
Облучье;48.98256;131.06318;0;20
Смидович;48.5981200000001;133.79145;0;23
Екатеринбург;56.8376400000001;60.59891;0;25
Алапаевск;57.8510200000001;61.69372;0;23
Бисерть;56.8593500000001;59.0496400000001;0;24
Верхнее Дуброво;56.7538900000001;61.03837;0;19
Верхотурье;58.8605900000001;60.8122500000001;0;24
Висим (Горноуральский о.);58.0645900000001;59.9072600000001;0;22
Гари;59.42668;62.35524;0;25
Ивдель;60.6947000000001;60.4159500000001;0;26
Ирбит;57.6838700000001;63.0575600000001;0;22
Каменск-Уральский;56.4160200000001;61.9166200000001;0;17
Камышлов;56.84853;62.6926;0;21
Красноуфимск;56.61875;57.7717500000001;0;20
Кушва;58.28448;59.7623600000001;0;21
Кытлым (ГО Карпинск);59.49915;59.20075;0;24
Михайловск (Нижнесергинский район);56.43611;59.1208500000001;0;20
Невьянск;57.48956;60.21738;0;24
Нижний Тагил;57.90765;59.97123;0;30
Ревда;56.8174100000001;59.92409;0;20
Североуральск;60.1565100000001;59.9311700000001;0;25
Серов;59.6057400000001;60.56796;0;24
Сысерть;56.5020400000001;60.81026;0;21
Таборы;58.52095;64.5588300000001;0;26
Тавда;58.04175;65.2714500000001;0;23
Туринск;58.03119;63.7017900000001;0;25
Шамары (Шалинский ГО);57.33736;58.21833;0;20
Назрань;43.2286;44.7553300000001;0;30
Волгоград;48.7040700000001;44.4518;0;27
Даниловка;50.3690300000001;44.12084;0;25
Елань;50.9474500000001;43.7575200000001;0;24
Иловля;49.3032900000001;43.9853400000001;0;21
Калач-на-Дону;48.7019100000001;43.4959400000001;0;21
Камышин;50.08617;45.40153;0;29
Котельниково;47.63838;43.12096;0;25
Михайловка;50.05987;43.2391400000001;0;22
Нижний Чир (Суровикинский район);48.3738300000001;43.09148;0;28
Новоаннинский;50.53797;42.6779500000001;0;24
Ольховка;49.86357;44.5496400000001;0;24
Палласовка;50.06127;46.86033;0;22
Рудня;54.9473800000001;31.08743;0;23
Серафимович;49.5848700000001;42.73508;0;24
Урюпинск;50.8149500000001;42.02081;0;29
Фролово;49.7590300000001;43.65991;0;23
Эльтон (Палласовский р-н);49.13766;46.84126;0;30
Петропавловск-Камчатский;53.0586700000001;158.63259;0;37
Апука (Олюторский район);60.4423600000001;169.60612;0;40
Долиновка(Мильковский район);55.1208600000001;159.06617;0;18
Кавалерское(Усть-Большерецкий р-н);52.9278600000001;156.57363;0;34
Каменское;48.5146700000001;34.61816;0;29
Ключи;52.2509400000001;79.1695800000001;0;29
Козыревск(Усть-Камчатский район);56.0491000000001;159.8742;0;30
Корф (Олюторский район);60.3767500000001;166.02312;0;30
Мильково;54.69068;158.60934;0;20
Начики (Елизовский р-н);53.1232400000001;157.75032;0;25
Никольское;59.70243;30.7845800000001;0;38
Озерновский;51.4972700000001;156.50801;0;51
Оссора;59.24233;163.0688;0;29
Светлый (Елизовский р-н);53.0833400000001;158.56957;0;29
Соболево;54.29805;155.94548;0;29
Сосновка (Елизовский р-н);53.08169;158.29997;0;21
Тигиль;57.7572200000001;158.68437;0;24
Усть-Камчатск;56.2391700000001;162.53095;0;35
Усть-Хайрюзово (Тигильский район);57.0944400000001;156.73986;0;29
Эссо;55.9275400000001;158.70783;0;23
Тюмень;57.15353;65.5353400000001;0;25
Вагай;57.9353800000001;69.01275;0;24
Викулово;56.81899;70.6184500000001;0;22
Голышманово;56.39536;68.373;0;25
Демьянское (Уватский р-н);59.5940900000001;69.3255800000001;0;19
Ишим;56.10918;69.46633;0;27
Камышинка (Абатский р-н);56.1324200000001;70.6652000000001;0;21
Сладково;55.53002;70.34076;0;25
Тобольск;58.2276400000001;68.2740000000001;0;21
Уват;59.14266;68.8955500000001;0;23
Ялуторовск;56.65464;66.3124500000001;0;34
Ярково;57.4083000000001;67.0558600000001;0;28
Нальчик;43.4983;43.6300600000001;0;25
Прохладный;43.7703300000001;44.0126100000001;0;23
Элиста;46.3085800000001;44.2698500000001;0;28
Артезиан (Черноземельский район);44.9451700000001;46.6661700000001;0;21
Городовиковск;46.0862000000001;41.92517;0;28
Ики-Бурул;45.8243800000001;44.64833;0;28
Кетченеры;47.30972;44.51784;0;27
Комсомольский;54.4401300000001;45.8278800000001;0;24
Лагань;45.3935500000001;47.3543300000001;0;28
Малые Дербеты;47.9625600000001;44.6673700000001;0;23
Утта (Яшкульский район);46.3653100000001;46.0083100000001;0;30
Юста;47.1209200000001;46.2979500000001;0;28
Яшкуль;46.1717800000001;45.34115;0;30
Магадан;59.5652200000001;150.80468;0;30
Мадаун (Тенькинский р-н);60.61422;150.7082;0;18
Ола;59.5729000000001;151.29373;0;27
Омсукчан;62.51766;155.76839;0;18
Палатка;60.1008600000001;150.93915;0;21
Сеймчан;62.9326600000001;152.39387;0;22
Сусуман;62.7839000000001;148.11316;0;27
Талая (Хасынский район);61.13097;152.39028;0;14
Талон (Ольский район);59.7565200000001;148.65944;0;19
Усть-Омчуг;61.13399;149.63343;0;20
Эвенск;61.9191200000001;159.23633;0;35
Ягодное;62.5192300000001;149.62608;0;17
Ханты-Мансийск;61.0031500000001;69.0160300000001;0;20
Алтай (Кондинский район);60.33459;68.96502;0;22
Берёзово;63.94183;65.0389400000001;0;27
Ваховск (Нижневартовский район);60.9532300000001;78.78033;0;22
Игрим;63.1958900000001;64.43134;0;23
Казым (Белоярский район);63.7014600000001;67.24296;0;24
Когалым;62.26676;74.47862;0;27
Кондинское;56.1022300000001;64.4274600000001;0;23
Корлики(Нижневартовский район);61.5368;82.41432;0;20
Ларьяк(Нижневартовский район);61.1017900000001;80.2609;0;24
Леуши (Кондинский район);59.6313500000001;65.72857;0;24
Нефтеюганск;61.0918300000001;72.6152700000001;0;26
Нижневартовск;60.96639;76.53078;0;27
Нижнесортымский (Сургутский район);62.44971;71.7695900000001;0;24
Няксимволь(Берёзовский район);62.42798;60.8653600000001;0;22
Октябрьское;54.4837200000001;53.47851;0;23
Радужный;62.13154;77.4564;0;23
Салым(Нефтеюганский район);60.06109;71.4403600000001;0;22
Саранпауль(Берёзовский район);64.26892;60.88401;0;21
Советский;61.36312;63.57543;0;23
Сосьва (Берёзовский р-н);63.64797;62.0841;0;26
Сургут;61.25505;73.43602;0;23
Сытомино (Сургутский р-н);61.3071800000001;71.2974300000001;0;22
Угут (Сургутский район);60.51604;74.0583300000001;0;28
Унъюган;61.9459100000001;64.94109;0;22
Чантырья (Кондинский р-н);60.32478;64.1974500000001;0;24
Черкесск;44.22938;42.04727;0;25
Архыз (Зеленчукский р-н);43.5653600000001;41.27925;0;21
Зеленчукская;43.8550500000001;41.5868400000001;0;19
Кичи-Балык (Малокарачаевский район);43.79058;42.65214;0;32
Теберда;43.44104;41.7414200000001;0;23
Краснодар;45.0357300000001;38.9765100000001;0;24
Адлер;43.43611;39.9319300000001;0;26
Аибга (Сочи);43.5874600000001;40.19473;0;33
Анапа;44.9302900000001;37.32268;0;29
Армавир;45.00165;41.1269500000001;0;28
Белая Глина;46.0652000000001;40.87838;0;27
Белореченск;44.76912;39.88431;0;24
Геленджик;44.59531;38.0477500000001;0;39
Горный (Туапсинский р-н);44.28524;39.27995;0;30
Горячий Ключ;44.63374;39.1381900000001;0;26
Джубга (Туапсинский р-н);44.3148200000001;38.70133;0;27
Должанская (Ейский р-н);46.63912;37.8127900000001;0;25
Ейск;46.67256;38.3013500000001;0;23
Каневская;46.0623600000001;38.9594900000001;0;22
Кореновск;45.46295;39.44588;0;23
Красная Поляна (Сочи);43.6795300000001;40.20505;0;17
Кропоткин;45.4299300000001;40.53722;0;21
Крымск;44.93053;37.9854700000001;0;28
Кущёвская;46.5491900000001;39.64469;0;22
Лабинск;44.6468300000001;40.7348200000001;0;26
Новороссийск;44.7236;37.7669300000001;0;44
Отрадная;44.40486;41.50845;0;26
Павловская;46.13699;39.7840600000001;0;23
Приморско-Ахтарск;46.0498200000001;38.2035700000001;0;20
Псебай (Мостовской р-н);44.1717100000001;40.8408600000001;0;23
Сенной (Темрюкский р-н);45.2998400000001;37.0062100000001;0;27
Славянск-на-Кубани;45.2245300000001;38.1094000000001;0;27
Сочи;43.61715;39.7245;0;25
Староминская;46.5156200000001;39.06516;0;24
Темрюк;45.2661600000001;37.41905;0;26
Тимашёвск;45.6000900000001;38.9507400000001;0;23
Тихорецк;45.85578;40.1268700000001;0;27
Туапсе;44.1008;39.0935000000001;0;31
Усть-Лабинск;45.2096500000001;39.6912100000001;0;25
Владивосток;43.11566;131.8859;0;36
Агзу (Тернейский район);47.5909600000001;138.3919;0;22
Анучино;43.9587900000001;133.05627;0;20
Барабаш (Хасанский р-н);43.18568;131.49491;0;24
Глубинное (Красноармейский район);46.0677900000001;135.3897;0;20
Дальнереченск;45.92456;133.77381;0;22
Заветное (Чугуевский р-н);44.70809;134.6991;0;22
Камень-Рыболов;44.73314;132.04053;0;28
Кировский;45.0966300000001;133.49756;0;22
Красный Яр(Пожарский район);46.5434300000001;135.36488;0;18
Лазо;43.37701;133.89894;0;22
Лесозаводск;45.4631400000001;133.39256;0;24
Малая Кема(Тернейский район);45.4121500000001;137.15607;0;25
Находка;42.82507;132.89394;0;29
Ольга;43.7452200000001;135.2843;0;26
Партизанск;43.11931;133.1234;0;25
Пограничный;44.3911000000001;131.38389;0;27
Полтавка (Октябрьский р-н);44.02739;131.32476;0;24
Посьет (Хасанский район);42.6532700000001;130.80537;0;34
Преображение;42.9041500000001;133.91408;0;29
Рудная Пристань (Дальнегорский округ);44.36702;135.81777;0;31
Светлая (Тернейский р-н);46.54134;138.32969;0;34
Терней;45.04974;136.61537;0;39
Турий Рог (Ханкайский р-н);45.2384900000001;131.97907;0;24
Уссурийск;43.7972300000001;131.95181;0;22
Хороль;44.4278800000001;132.07709;0;26
Хрустальный (Кавалеровский район);44.3498700000001;135.09663;0;25
Чкаловское (Спасский р-н);44.8376200000001;133.04393;0;23
Чугуевка;44.1561;133.86074;0;19
Челябинск;55.16306;61.3887700000001;0;24
Аргаяш;55.48197;60.8812;0;23
Бреды;52.4303600000001;60.3103;0;26
Бродокалмак (Красноармейский район);55.56458;62.07626;0;24
Верхний Уфалей;56.0309100000001;60.26005;0;22
Златоуст;55.2111800000001;59.64896;0;23
Карталы;53.0563700000001;60.64122;0;24
Катав-Ивановск;54.75336;58.2042500000001;0;19
Кизильское;52.7339000000001;58.8823;0;23
Магнитогорск;53.4076700000001;58.9855700000001;0;23
Миасс;55.0824900000001;60.1250200000001;0;21
Троицк;54.0832500000001;61.55976;0;28
Владикавказ;43.0302;44.6677300000001;0;30
Алагир;43.02615;44.2261;0;21
Моздок;43.74438;44.65227;0;28
Ростов-на-Дону;47.22691;39.7167600000001;0;26
Белая Калитва;48.19638;40.77088;0;24
Боковская;49.21774;41.8247400000001;0;21
Гигант (Сальский район);46.5182600000001;41.33793;0;26
Зерноград;46.85553;40.3163900000001;0;24
Зимовники;47.15245;42.46383;0;24
Казанская;45.40709;40.44437;0;27
Каменск-Шахтинский;48.2985800000001;40.24359;0;24
Константиновск;47.57748;41.1202900000001;0;22
Матвеев-Курган;47.57201;38.8632900000001;0;22
Миллерово;48.9182000000001;40.40016;0;28
Морозовск;48.35071;41.82606;0;28
Ремонтное;46.5758700000001;43.6422600000001;0;34
Семикаракорск;47.5143600000001;40.7988;0;23
Таганрог;47.2290800000001;38.8824300000001;0;28
Цимлянск;47.64311;42.0966100000001;0;25
Чертково;49.3801800000001;40.1480100000001;0;20
Шахты;47.79799;40.1231000000001;0;27
Якутск;61.9765100000001;129.66756;0;20
Алдан;58.63235;125.40416;0;24
Амга;60.8944900000001;131.95167;0;24
Андрюшкино (Нижнеколымский район);69.1732000000001;154.44064;0;25
Батагай;67.6597100000001;134.65271;0;19
Бердигестях;62.1039500000001;126.68716;0;16
Бестях (Жиганский район);45.7768800000001;47.2329;0;20
Верхневилюйск;63.4499300000001;120.30388;0;19
Верхоянск;67.5548200000001;133.38995;0;22
Вилюйск;63.7526100000001;121.62297;0;22
Витим (Ленский район);62.1831500000001;49.08527;0;25
Депутатский;69.38993;139.90268;0;24
Жиганск;66.76606;123.37583;0;25
Исит (Хангаласский р-н);60.81552;125.33145;0;15
Казачье (Усть-Янский р-н);70.7384400000001;136.21599;0;30
Колымское (Нижнеколымский район);68.7314400000001;158.6988;0;18
Крестях (Сунтарский р-н);62.2534400000001;116.1649;0;19
Кюсюр (Булунский район);51.1514300000001;53.0190400000001;0;30
Ленск;60.7308800000001;114.92649;0;26
Мача (Олёкминский район);56.21083;33.4824300000001;0;19
Мирный;62.5341700000001;113.9816;0;19
Намцы;62.71824;129.66208;0;17
Нюрба;63.2847800000001;118.33783;0;19
Оймякон;63.45995;142.7854;0;21
Олёкминск;60.3737;120.40007;0;24
Оленёк;68.5051100000001;112.44534;0;30
Покровск;48.2824200000001;37.17776;0;21
Сангар;63.9229500000001;127.46931;0;22
Саскылах;71.96162;114.09078;0;30
Себян-Кюёль(Кобяйский район);52.21189;24.3555900000001;0;22
Сегян-Кюёль(Кобяйский район);52.21189;24.3555900000001;0;22
Среднеколымск;67.45165;153.7015;0;17
Сунтар;62.1498700000001;117.6312;0;22
Тёплый Ключ(Томпонский район);62.7844000000001;136.8012;0;14
Тикси;71.6383500000001;128.86224;0;39
Томмот (Алданский район);58.9591276139219;126.274216205937;0;22
Тяня (Олёкминский район);56.21083;33.4824300000001;0;20
Усть-Куйга(Усть-Янский район);61.0869300000001;43.15133;0;21
Усть-Мая;60.41303;134.52645;0;19
Усть-Нера;64.56071;143.22901;0;19
Хонуу;66.4536000000001;143.225;0;22
Чагда (Алданский район);58.7422100000001;130.61315;0;16
Чернышевский(Мирнинский район);63.02878;112.48368;0;28
Черский;68.7568200000001;161.34078;0;36
Чокурдах;70.6183600000001;147.89498;0;23
Чульман(Нерюнгринский район);56.86244;124.89171;0;23
Чурапча;61.99931;132.43386;0;16
Эйик (Оленёкский район);56.21083;33.4824300000001;0;24
Салехард;66.53049;66.61429;0;25
Антипаюта (Тазовский р-н);69.1027100000001;76.8598600000001;0;33
Красноселькуп;65.70518;82.4579400000001;0;31
Мужи;65.40529;64.70104;0;25
Надым;65.5330900000001;72.5289100000001;0;24
Новый Порт(Ямальский район);67.6915900000001;72.8936;0;29
Новый Уренгой;66.0871700000001;76.6580700000001;0;31
Ноябрьск;63.19791;75.4439;0;28
Ныда (Надымский район);66.6267;72.93438;0;28
Пангоды (Надымский р-н);65.84342;74.4673100000001;0;27
Питляр (Шурышкарский р-н);65.8387000000001;65.9123000000001;0;24
Сёяха (Ямальский район);70.1656600000001;72.5070000000001;0;38
Тазовский;67.47148;78.7098800000001;0;29
Тарко-Сале;64.9163800000001;77.7790900000001;0;29
Толька (Красноселькупский р-н);64.0019300000001;82.0485400000001;0;24
Уренгой (Пуровский р-н);65.9619700000001;78.3745500000001;0;24
Халясавэй (Пуровский р-н);63.3829400000001;78.3252200000001;0;23
Ставрополь;45.0516700000001;41.99359;0;33
Александровское;44.7031200000001;42.99035;0;23
Арзгир;45.3620700000001;44.2013700000001;0;30
Благодарный;45.10362;43.4370500000001;0;24
Будённовск;44.7803400000001;44.1735;0;30
Георгиевск;44.1475600000001;43.47475;0;19
Дивное;45.90779;43.3370200000001;0;25
Зеленокумск;44.4221400000001;43.8680800000001;0;24
Изобильный;45.35754;41.69897;0;24
Кисловодск;43.91072;42.7162700000001;0;27
Красногвардейское;45.8443800000001;41.5066100000001;0;24
Минеральные Воды;44.1979000000001;43.12298;0;26
Невинномысск;44.62269;41.9483500000001;0;25
