название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Железнодорожный (Правдинский район);54.3611500000001;21.3052700000001;0;28
Пионерский;54.9532;20.22459;0;29
Советск;55.0781700000001;21.88564;0;25
Черняховск;54.63795;21.81107;0;27
Йошкар-Ола;56.63185;47.89793;0;27
Козьмодемьянск;56.3378000000001;46.5763900000001;0;21
Новый Торъял;57.0060800000001;48.7358400000001;0;28
Улан-Удэ;51.8415400000001;107.60912;0;28
Бабушкин (Кабанский р-н);51.71705;105.86135;0;19
Багдарин;54.4468400000001;113.5855;0;20
Баргузин;53.61314;109.63928;0;29
Баунт;55.2587300000001;113.12736;0;22
Бичура;50.58709;107.5941;0;26
Горячинск (Прибайкальский район);52.98524;108.29641;0;23
Давша(Северо-Байкальский р-н);54.3558;109.50593;0;24
Кабанск;52.0499100000001;106.65932;0;24
Курумкан;54.3321300000001;110.31402;0;28
Кырен;51.6808500000001;102.12375;0;22
Кяхта;50.33464;106.47705;0;28
Монды (Тункинский район);51.67598;100.99805;0;25
Мухоршибирь;51.0577700000001;107.82552;0;22
Нижнеангарск;55.7921000000001;109.5886;0;19
Новоселенгинск (Селенгинский район);51.0951900000001;106.61289;0;34
Орлик;52.51534;99.82676;0;17
Петропавловка;50.6103000000001;105.32205;0;28
Романовка(Баунтовский район);51.74821;42.7577900000001;0;24
Сосново-Озерское;52.5314700000001;111.51776;0;26
Танхой (Кабанский район);51.5543200000001;105.11563;0;20
Тунка;51.74179;102.54236;0;21
Уакит (Баунтовский р-н);55.4874300000001;113.63594;0;23
Усть-Баргузин (Баргузинский район);53.40497;109.05077;0;20
Хоринск;52.1675200000001;109.7712;0;28
Цакир (Закаменский р-н);50.4483500000001;103.57164;0;24
Владимир;56.1303500000001;40.4101000000001;0;20
Вязники;56.23544;42.11161;0;19
Гусь-Хрустальный;55.6117100000001;40.66119;0;22
Муром;55.5738400000001;42.0360000000001;0;19
Петушки;55.9363500000001;39.4577;0;19
Юрьев-Польский;56.49722;39.67116;0;19
Петрозаводск;61.79013;34.35049;0;23
Беломорск;64.5196500000001;34.75816;0;42
Валаам(Сортавальский район);61.38903;30.94962;0;26
Калевала;65.1976300000001;31.1806;0;24
Кемь;64.95448;34.5840400000001;0;24
Колежма (Беломорский район);64.11652;35.72983;0;25
Кондопога;62.20536;34.24091;0;22
Медвежьегорск;62.9178600000001;34.4498100000001;0;20
Олонец;60.9794000000001;32.97648;0;24
Паданы(Медвежьегорский район);63.28184;33.41688;0;27
Пудож;61.8053800000001;36.5280300000001;0;23
Реболы (Муезерский р-н);63.8320600000001;30.8054000000001;0;21
Сегежа;63.74951;34.29123;0;23
Сортавала;61.70237;30.68944;0;22
Суоярви;62.08128;32.35628;0;22
Энгозеро (Лоухский р-н);65.7836600000001;33.9368200000001;0;19
Саранск;54.1894500000001;45.1827700000001;0;22
Краснослободск;48.7046;44.55931;0;27
Темников;54.62845;43.2053100000001;0;22
Чита;52.02446;113.51297;0;27
Агинское;55.2606000000001;94.9145300000001;0;25
Аксёново-Зиловское (Чернышевский район);53.07626;117.50598;0;19
Акша;50.2853400000001;113.2873;0;25
Александровский Завод;50.9202000000001;117.92668;0;30
Балей;51.57795;116.64881;0;24
Борзя;50.3904800000001;116.53467;0;31
Бургень (Читинский район);52.42224;113.78118;0;22
Верх-Усугли;52.68618;115.1949;0;27
